Name	Facebook	Screenname	Flickr	LinkedIn	Youtube	Constituency	Party	Candidate Web Page	Email	Party Web Site
Mr. Dara Calleary	http://www.facebook.com/daracalleary	daracalleary				Mayo	Fianna F‡il	http://daracalleary.ie/	dara.calleary@oireachtas.ie	http://www.fiannafail.ie/
Mr. Ciaran Cannon	http://www.facebook.com/ciaran.cannon	ciarancannon				Galway East	Fine Gael	http://www.finegael.ie/our-people/tds/ciaran-cannon/	ciaran.cannon@oireachtas.ie	http://www.finegael.ie
Mr. Joe Carey	http://www.facebook.com/pages/Joe-Carey/199442566789462	joecareytd				Clare	Fine Gael	http://www.joecarey.ie/	joe.carey@oireachtas.ie	http://www.finegael.ie
Mr. Paudie Coffey	http://www.facebook.com/paudie.coffey.7	paudiecoffey		http://ie.linkedin.com/pub/paudie-coffey/38/90/779		Waterford	Fine Gael		paudie.coffey@oireachtas.ie	http://www.finegael.ie
Mr. Niall Collins	http://www.facebook.com/NiallCollinsTD/	niallcollinstd				Limerick	Fianna F‡il	http://www.niallcollinstd.ie/	niall.collins@oireachtas.ie	http://www.fiannafail.ie/
Ms. Joan Collins	http://www.facebook.com/JoanCollinsTD	joancollinstd				Dublin South-Central	Independent	http://joan-collins.org/	joan.collins@oireachtas.ie	
Ms. çine Collins	http://www.facebook.com/ainecollinscork	ainecollinstd		http://ie.linkedin.com/pub/aine-collins/13/310/344	http://www.youtube.com/channel/UC6UMrTKNoBcT9elPIKj34vA	Cork North-West	Fine Gael	http://ainecollins.ie/	aine.collins@oireachtas.ie	http://www.finegael.ie
Mr. Michael Colreavy	http://www.facebook.com/michael.colreavy	michaelcolreavy		http://ie.linkedin.com/pub/michael-colreavy/41/9a5/243	http://www.youtube.com/user/MichaelColreavySFTD/videos	Sligo Leitrim North	Sinn FŽin	http://www.colreavy.net/	michael.colreavy@oireachtas.ie	http://www.sinnfein.ie
Mr. Sean Conlan	http://www.facebook.com/seanconlanfg	seanconlantd			http://www.youtube.com/channel/UCwg87re2YDKjag0flqZkAJA	Cavan-Monaghan	Fine Gael	http://www.seanconlan.ie/	sean.conlan@oireachtas.ie	http://www.finegael.ie
Mr. Paul J Connaughton	http://www.facebook.com/paul.connaughton.35	pconnaughtontd		http://ie.linkedin.com/pub/paul-connaughton/47/294/562		Galway East	Fine Gael	http://paulconnaughton.ie	paulj.connaughton@oir.ie	http://www.finegael.ie
Ms. Ciara Conway	http://www.facebook.com/ciaraconwaylabour	ciaramconway				Waterford	Labour Party	http://www.labour.ie/ciaraconway	ciara.conway@oireachtas.ie	http://www.labour.ie/
Mr. Noel J Coonan	http://www.facebook.com/noelcoonan	noelcoonantd	http://www.flickr.com/photos/noelcoonantd/	http://ie.linkedin.com/pub/noel-coonan/54/66/290		Tipperary North	Fine Gael	http://www.noelcoonan.com/	noel.coonan@oireachtas.ie	http://www.finegael.ie
Ms. Ruth Coppinger	http://www.facebook.com/RuthCoppingerTD	ruthcoppingertd			http://www.youtube.com/channel/UC5tvPCZIxPuLhFWQFhVEVuw/feed	Dublin West	Socialist Party	http://antiausterityalliance.ie/	ruth.coppinger@oireachtas.ie	http://www.socialistparty.net/
Ms. Marcella Corcoran Kennedy	http://www.facebook.com/marcella.corcorankennedy	marcellack		http://ie.linkedin.com/pub/marcella-corcoran-kennedy/53/a67/7b7		Laoighis-Offaly	Fine Gael	http://www.corcorankennedy.ie/	marcella.corcorankennedy@oireachtas.ie	http://www.finegael.ie
Mr. Joe Costello	http://www.facebook.com/joecostellotd	joecostellotd				Dublin Central	Labour Party	http://www.labour.ie/joecostello	joe.costello@oireachtas.ie	http://www.labour.ie/
Mr. Simon Coveney	http://www.facebook.com/SimonCoveney	simoncoveney		http://ie.linkedin.com/pub/simon-coveney/18/931/46a		Cork South-Central	Fine Gael	http://www.finegael.ie/our-people/ministers/simon-coveney/	simon.coveney@oireachtas.ie	http://www.finegael.ie
Mr. Barry Cowen	http://www.facebook.com/barry.cowen.395	cowenbarry				Laoighis-Offaly	Fianna F‡il	http://https://www.fiannafail.ie/people/barry-cowen/	barry.cowen@oireachtas.ie	http://www.fiannafail.ie/
Mr. Michael Creed	http://www.facebook.com/michaelcreedtd	michaelcreedtd				Cork North-West	Fine Gael	http://michaelcreedfg.wordpress.com/	michael.creed@oireachtas.ie	http://www.finegael.ie
Ms. Lucinda Creighton	http://www.facebook.com/lucinda.creighton.7	lcreighton		http://ie.linkedin.com/in/lucindacreightontd	http://www.youtube.com/channel/UCzCb-kQGcJOZ4amj1hM25Rw/feed	Dublin South-East	RENUA Ireland	http://www.lucindacreighton.ie/	lucinda.creighton@oireachtas.ie	http://www.renuaireland.ie/
Mr. Sean Crowe	http://www.facebook.com/seancrowesinnfein	seancrowetd				Dublin South-West	Sinn FŽin	http://seancrowe.ie/home/	sean.crowe@oireachtas.ie	http://www.sinnfein.ie
Ms. Clare Daly	http://www.facebook.com/ClareDalyTD	claredalytd				Dublin North	Independent	http://claredaly.ie/	clare.daly@oireachtas.ie	
Mr. Jim Daly	http:////www.facebook.com/search/top/?q=jim%20daly%20td	jimdalytd		http://ie.linkedin.com/pub/jim-daly/b/636/165		Cork South-West	Fine Gael	http://jimdaly.ie/	jim.daly@oireachtas.ie	http://www.finegael.ie
Mr. John Deasy		4_johndeasytd				Waterford	Fine Gael	http://www.johndeasytd.com/	john.deasy@oireachtas.ie	http://www.finegael.ie
Mr. Jimmy Deenihan		jimmydeenihantd				Kerry North Limerick West	Fine Gael	http://www.jimmydeenihan.com/	jimmy.deenihan@oireachtas.ie	http://www.finegael.ie
Mr. Patrick Deering	http://www.facebook.com/pat.deering.3	patdeeringfg				Carlow-Kilkenny	Fine Gael	http://patdeering.ie/	pat.deering@oireachtas.ie	http://www.finegael.ie
Ms. Regina Doherty	http://www.facebook.com/cllr.regina.doherty	reginado		http://ie.linkedin.com/pub/regina-doherty-td/39/772/879		Meath East	Fine Gael	http://reginadoherty.blogspot.ie/	regina.doherty@oireachtas.ie	http://www.finegael.ie
Mr. Pearse Doherty	http://www.facebook.com/PearseDohertyTD	pearsedoherty				Donegal South-West	Sinn FŽin	http://www.sinnfein.ie/contents/14981	pearse.doherty@oireachtas.ie	http://www.sinnfein.ie
Mr. Stephen Donnelly	http://www.facebook.com/DonnellyforWicklow	donnellystephen			http://www.youtube.com/user/DonnellyforWicklow	Wicklow	Social Democrats	http://stephendonnelly.ie/	stephen.donnelly@oireachtas.ie	http://www.socialdemocrats.ie/
Mr. Paschal Donohoe	http://www.facebook.com/paschal.donohoe	paschald				Dublin Central	Fine Gael	http://paschaldonohoe.ie/	paschal.donohoe@oireachtas.ie	http://www.finegael.ie
Mr. Timmy Dooley	http://www.facebook.com/timmy.dooley	timmydooley				Clare	Fianna F‡il	http://www.fiannafail.ie/people/timmy-dooley/	timmy.dooley@oireachtas.ie	http://www.fiannafail.ie/
Mr. Robert Dowds	http://www.facebook.com/pages/Robert-Dowds/317195538269	robert_dowdstd				Dublin Mid West	Labour Party	http://www.robertdowds.ie/	robert.dowds@oireachtas.ie	http://www.labour.ie/
Mr. Andrew Doyle	http://www.facebook.com/AndrewDoyleTD	adoyletd		http://ie.linkedin.com/pub/andrew-doyle/25/4a2/384	http://www.youtube.com/channel/UCz6ylYxmzyjIrKIG5hasX1g	Wicklow	Fine Gael	http://www.andrewdoyle.ie/	andrew.doyle@oireachtas.ie	http://www.finegael.ie
Mr. Bernard Durkan	http://www.facebook.com/BernardDurkan	bernarddurkantd				Kildare North	Fine Gael	http://www.finegael.ie/our-people/tds/bernard-durkan/	bernard.durkan@oireachtas.ie	http://www.finegael.ie
Mr. Dessie Ellis	http://facebook.com/dessie.ellis	dessieellistd				Dublin North-West	Sinn FŽin	http://www.sinnfein.ie/contents/20212	dessie.ellis@oireachtas.ie	http://www.sinnfein.ie
Mr. Damien English		damien_english				Meath West	Fine Gael	http://www.damienenglish.ie/	damien.english@oireachtas.ie	http://www.finegael.ie
Mr. Alan Farrell	http://www.facebook.com/alanfarrelltd	alanfarrell		http://ie.linkedin.com/pub/alan-farrell-td/27/b53/80	http://www.youtube.com/user/AlanFarrellTD	Dublin North	Fine Gael	http://alanfarrell.ie/	alan.farrell@oireachtas.ie	http://www.finegael.ie
Mr. Frank Feighan		frankfeighan				Roscommon Leitrim South	Fine Gael	http://frankfeighan.ie/	frank.feighan@oireachtas.ie	http://www.finegael.ie
Ms. Anne Ferris	http://www.facebook.com/ferrislabour	anneferristd		http://ie.linkedin.com/pub/anne-ferris/73/706/447		Wicklow	Labour Party	http://www.labour.ie/anneferris/	anne.ferris@oireachtas.ie	http://www.labour.ie/
Ms. Frances Fitzgerald	http://www.facebook.com/FitzgeraldFrances	fitzgeraldfrncs				Dublin Mid West	Fine Gael	http://www.francesfitzgerald.ie/	frances.fitzgerald@oireachtas.ie	http://www.finegael.ie
Mr. Michael Fitzmaurice	http://www.facebook.com/michael.fitzmaurice.378	michaelfitzmau1				Roscommon Leitrim South	Independent	http://www.michaelfitzmaurice.ie/	michael.fitzmaurice@oireachtas.ie	
Mr. Peter Fitzpatrick	http://www.facebook.com/peter.fitzpatricktd	pfitzpatricktd				Louth	Fine Gael	http://petermfitzpatrick.wordpress.com/	peterm.fitzpatrick@oireachtas.ie	http://www.finegael.ie
Mr. Luke 'Ming' Flanagan	http://www.facebook.com/Lukemingflanagan	lukeming				Roscommon Leitrim South	Independent			
Mr. Charles Flanagan	http://www.facebook.com/TDCharlieFlanagan	charlieflanagan				Laoighis-Offaly	Fine Gael	http://www.finegael.ie/our-people/tds/charles-flanagan/index.xml	charles.flanagan@oireachtas.ie	http://www.finegael.ie
Mr. Tom Fleming	http://www.facebook.com/TomFlemingTD	tomflemingtd				Kerry South	Independent		tom.fleming@oireachtas.ie	
Mr. Eamon Gilmore	http://www.facebook.com/EamonGilmore	eamongilmore				Dœn Laoghaire	Labour Party	http://www.gilmore.ie/	eamon.gilmore@oireachtas.ie	http://www.labour.ie/
Mr. Brendan Griffin	http://www.facebook.com/brendan.griffin.5074	bgriffintd				Kerry South	Fine Gael	http://brendangriffin.ie/	brendan.griffin@oireachtas.ie	http://www.finegael.ie
Mr. John Halligan	http://www.facebook.com/johnhalliganwaterford	johnhalligan				Waterford	Independent	http://www.johnhalligan.ie/	john.halligan@oireachtas.ie	
Mr. Dominic Hannigan	http://www.facebook.com/DominicHannigan	domhannigan				Meath East	Labour Party	http://www.dominichannigan.com/	dominic.hannigan@oireachtas.ie	http://www.labour.ie/
Mr. Noel Harrington	http://www.facebook.com/noelharringtontd	nharrington2				Cork South-West	Fine Gael	http://noelharrington.com/	noel.harrington@oireachtas.ie	http://www.finegael.ie
Mr. Simon Harris	http://www.facebook.com/DeputySimonHarris	simonharristd		http://ie.linkedin.com/pub/simon-harris/76/722/65b	http://www.youtube.com/channel/UC_CAYxzRPGSG8oMp0ukVi-Q	Wicklow	Fine Gael	http://www.simonharris.ie/	simon.harris@oireachtas.ie	http://www.finegael.ie
Mr. Tom Hayes	http://www.facebook.com/TomHayesTipperaryTD	tomhayestd				Tipperary South	Fine Gael	http://www.finegael.ie/our-people/ministers/tom-hayes/	tom.hayes@oireachtas.ie	http://www.finegael.ie
Mr. Brian Hayes	http://www.facebook.com/BrianHayesFG	brianhayesmep	http://www.flickr.com/photos/brianhayestd/			Dublin South-West	Fine Gael	http://brianhayesdublin.wordpress.com/contact/		http://www.finegael.ie
Mr. Seamus Healy	http://www.facebook.com/seamus.healy	seamushealytd				Tipperary South	Workers and Unemployed Action Group South-Tipperary	http://wuag.wordpress.com/	seamus.healy@oireachtas.ie	
Mr. Michael Healy-Rae	http://www.facebook.com/mhealyrae	mhealyrae				Kerry South	Independent		michael.healy-rae@oireachtas.ie	
Mr. Martin Heydon	http://www.facebook.com/martinheydonfg	martinheydonfg		http://ie.linkedin.com/pub/martin-heydon/42/37a/391	http://www.youtube.com/user/martinheydon	Kildare South	Fine Gael	http://www.martinheydon.com/	martin.heydon@oireachtas.ie	http://www.finegael.ie
Mr. Joe Higgins	http://www.facebook.com/joehiggins.sp	joehigginstd			http://www.youtube.com/user/VoteJoeHiggins/videos	Dublin West	Socialist Party	http://joehiggins.ie/	joe.higgins@oireachtas.ie	http://www.socialistparty.net/
Mr. Phil Hogan	http://www.facebook.com/PhilHoganEU	philhoganeu				Carlow-Kilkenny	Fine Gael	http://ec.europa.eu/commission/2014-2019/hogan_en		http://www.finegael.ie
Mr. Kevin Humphreys	http://www.facebook.com/khumphreystd	khumphreystd			http://www.youtube.com/user/KevinHumphreysTD	Dublin South-East	Labour Party	http://www.kevinhumphreys.ie/	kevin.humphreys@oireachtas.ie	http://www.labour.ie/
Mr. Derek Keating		derekkeating				Dublin Mid West	Fine Gael	http://derekkeating.net/	derek.keating@oireachtas.ie	http://www.finegael.ie
Mr. Colm Keaveney	http://www.facebook.com/colmkeaveney	colm_keaveney				Galway East	Fianna F‡il	http://www.colmkeaveney.ie	colm.keaveney@oireachtas.ie	http://www.fiannafail.ie/
Mr. Paul Kehoe	http://www.facebook.com/PaulKehoeTD	campaign4kehoe				Wexford	Fine Gael	http://www.paulkehoe.com/	paul.kehoe@oireachtas.ie	http://www.finegael.ie
Mr. Billy Kelleher	http://www.facebook.com/billy.kelleher.3	billykellehertd				Cork North-Central	Fianna F‡il	http://www.fiannafail.ie/people/billy-kelleher/	billy.kelleher@oireachtas.ie	http://www.fiannafail.ie/
Mr. Alan Kelly	http://www.facebook.com/alankellylabour	alankellylabour		http://ie.linkedin.com/pub/alan-kelly-td/39/aba/302		Tipperary North	Labour Party	http://www.alankelly.ie/	alan.kelly@oireachtas.ie	http://www.labour.ie/
Mr. Enda Kenny	http://www.facebook.com/endakennyofficial	endakennytd				Mayo	Fine Gael	http://www.finegael.ie/our-people/taoiseach/enda-kenny/index.xml	enda.kenny@oireachtas.ie	http://www.finegael.ie
Mr. Sean Kenny	http://www.facebook.com/SeanKennyTD	seankennytd			http://www.youtube.com/user/SeanKennyTD	Dublin North-East	Labour Party	http://www.seankenny.ie	sean.kenny@oireachtas.ie	http://www.labour.ie/
Mr. SŽamus Kirk	http://www.facebook.com/seamus.kirk.7	seamuskirk1				Louth	Fianna F‡il	http://www.seamuskirk.ie/	seamus.kirk@oireachtas.ie	http://www.fiannafail.ie/
Mr. Se‡n Kyne	http://www.facebook.com/SeanKyneTD	seankynetd				Galway West	Fine Gael	http://seankyne.ie/	sean.kyne@oireachtas.ie	http://www.finegael.ie
Mr. Anthony Lawlor	http://www.facebook.com/anthony.lawlor.98	anthonylawlorfg			http://www.youtube.com/user/AnthonyLawlorFG	Kildare North	Fine Gael	http://anthonylawlor.ie/	anthony.lawlor@oireachtas.ie	http://www.finegael.ie
Mr. Michael Lowry	http://www.facebook.com/michaellowrytd	michael_lowry				Tipperary North	Independent	http://www.michaellowry.ie/	michael.lowry@oireachtas.ie	
Ms. Kathleen Lynch	http://www.facebook.com/KathleenLynchTD	kathleenlynchtd	http://www.flickr.com/search/?q=kathleenlynch&m=tags&w=32586689%40N00&ss=2&z=m			Cork North-Central	Labour Party	http://www.labour.ie/kathleenlynch	kathleen.lynch@oireachtas.ie	http://www.labour.ie/
Mr. Ciar‡n Lynch	http://www.facebook.com/ciaran.lynch.75	ciaranlynchtd		http://ie.linkedin.com/pub/ciar‡n-lynch/35/9a6/369		Cork South-Central	Labour Party	http://www.ciaranlynch.ie/	ciaran.lynch@oireachtas.ie	http://www.labour.ie/
Mr. John Lyons	http://www.facebook.com/JohnLyonsDublinNorthWest	johnlyonstd	http://www.flickr.com/photos/johnlyons/	http://ie.linkedin.com/pub/john-lyons/37/b54/271	http://www.youtube.com/user/JohnLyonsTD	Dublin North-West	Labour Party	http://www.labour.ie/johnlyons	john.lyons@oireachtas.ie	http://www.labour.ie/
Mr. P‡draig Mac Lochlainn	http://www.facebook.com/padraig.maclochlainn	padraigmacl				Donegal North-East	Sinn FŽin	http://www.donegalsf.com/representatives/937	padraig.maclochlainn@oireachtas.ie	http://www.sinnfein.ie
Mr. Miche‡l Martin	http://www.facebook.com/michealmartintd	michealmartintd		http://ie.linkedin.com/pub/miche%C3%A1l-martin/2a/b49/6b3		Cork South-Central	Fianna F‡il	http://www.michealmartin.ie/	micheal.martin@oireachtas.ie	http://www.fiannafail.ie/
Mr. Peter Mathews		petermathewstd				Dublin South	Independent	http://www.petermathews.ie/	peter.mathews@oireachtas.ie	
Mr. Michael McCarthy		mmccarthytd				Cork South-West	Labour Party	http://michaelmccarthy.ie/	michael.mccarthy@oireachtas.ie	http://www.labour.ie/
Mr. Charlie McConalogue	http://www.facebook.com/CharlieMcConalogue	mcconalogue		http://ie.linkedin.com/pub/charlie-mcconalogue/73/42b/bb6		Donegal North-East	Fianna F‡il	http://www.fiannafail.ie/people/charlie-mcconalogue/	charlie.mcconalogue@oireachtas.ie	http://www.fiannafail.ie/
Ms. Mary Lou McDonald	http://www.facebook.com/MaryLouMcDonaldTD	maryloumcdonald				Dublin Central	Sinn FŽin	http://www.dublincentralsinnfein.ie/	marylou.mcdonald@oireachtas.ie	http://www.sinnfein.ie
Ms. Helen McEntee		hmcentee				Meath East	Fine Gael	http://www.finegael.ie/our-people/tds/helen-mcentee/	helen.mcentee@oireachtas.ie	http://www.finegael.ie
Ms. Gabrielle McFadden	http://www.facebook.com/GabrielleMcFaddenFG	gabmcfadden				Longford -Westmeath	Fine Gael	http://gabriellemcfadden.ie/	gabrielle.mcfadden@oireachtas.ie	http://www.finegael.ie
Ms. Nicky McFadden RIP	http://www.facebook.com/NickyMcFaddenTD	nickymcfaddentd		http://ie.linkedin.com/pub/nicky-mcfadden/1a/331/95a		Longford -Westmeath	Fine Gael	http://nickymcfadden.ie/	nicky.mcfadden@oireachtas.ie	http://www.finegael.ie
Mr. Dinny McGinley	http://www.facebook.com/dinny.mcginley	dinnymcg				Donegal South-West	Fine Gael	http://www.finegael.ie/our-people/tds/dinny-mcginley/index.xml/index.xml	dinny.mcginley@oireachtas.ie	http://www.finegael.ie
Mr. Michael McGrath	http://www.facebook.com/michael.mcgrath.1614	deputymcgrathtd				Cork South-Central	Fianna F‡il	http://www.fiannafail.ie/people/michael-mcgrath/	michael.mcgrath@oireachtas.ie	http://www.fiannafail.ie/
Mr. Finian McGrath	http://www.facebook.com/finian.mcgrathtd	finianmcgrathtd		http://ie.linkedin.com/pub/finian-mcgrath/4a/a75/60a		Dublin North Central	Independent	http://www.finianmcgrath.ie/	finian.mcgrath@oireachtas.ie	
Mr. Mattie McGrath	http://www.facebook.com/MattieMcGrathTD	mattiemcgrathtd			http://www.youtube.com/channel/UCC96omKmEcN5CxxX5JpamjQ	Tipperary South	Independent	http://www.mattiemcgrath.ie/	mattie.mcgrath@oireachtas.ie	
Mr. John McGuinness	http://www.facebook.com/johnmcguinnesskk	jmcguinnesstd				Carlow-Kilkenny	Fianna F‡il	http://johnmcguinness.ie/	john.mcguinness@oireachtas.ie	http://www.fiannafail.ie/
Mr. Joe McHugh	http://www.facebook.com/JoeMcHughTD	joe_mchugh_td				Donegal North-East	Fine Gael	http://www.finegael.ie/our-people/ministers/joe-mchugh/	joe.mchugh@oireachtas.ie	http://www.finegael.ie
Ms. Sandra McLellan	http://www.facebook.com/pages/Deputy-Sandra-McLellan/312973732047765	smclellantd				Cork East	Sinn FŽin	http://www.sinnfein.ie/contents/20211	sandra.mclellan@oireachtas.ie	http://www.sinnfein.ie
Mr. Tony McLoughlin	http://www.facebook.com/DeputyTonyMcLTD	tonymcltd				Sligo Leitrim North	Fine Gael	http://www.tonymcloughlintd.ie/	tony.mcloughlin@oireachtas.ie	http://www.finegael.ie
Mr. Michael McNamara	http://www.facebook.com/Michael.McNamara.Clare	mmcnamara_clare	http://www.flickr.com/search/?q=michaelmcnamara&m=tags&w=32586689%40N00&ss=2&z=m			Clare	Labour Party	http://www.labour.ie/michaelmcnamara/	michael.mcnamara@oireachtas.ie	http://www.labour.ie/
Ms. Olivia Mitchell	http://www.facebook.com/oliviamitchellTD	omitchelltd				Dublin South	Fine Gael	http://www.finegael.ie/our-people/tds/olivia-mitchell/	olivia.mitchell@oireachtas.ie	http://www.finegael.ie
Ms. Mary Mitchell O'Connor	http://www.facebook.com/mary.mitchelloconnor	mitchelloconnor		http://www.linkedin.com/pub/mary-mitchell-o-connor/55/a95/595		Dœn Laoghaire	Fine Gael	http://www.marymitchelloconnor.ie/	mary.mitchelloconnor@oireachtas.ie	http://www.finegael.ie
Ms. Michelle Mulherin	http://www.facebook.com/michelle.mulherin.9	mulherinfg				Mayo	Fine Gael	http://www.finegael.ie/our-people/tds/michelle-mulherin/	michelle.mulherin@oireachtas.ie	http://www.finegael.ie
Mr. Dara Murphy	http://www.facebook.com/DaraMurphyTD	daramurphyfg				Cork North-Central	Fine Gael	http://www.finegael.ie/our-people/ministers/dara-murphy/	dara.murphy@oireachtas.ie	http://www.finegael.ie
Mr. Eoghan Murphy	http://www.facebook.com/murphyeoghan	murphyeoghan		http://ie.linkedin.com/in/eoghanmurphy	http://www.youtube.com/user/MurphyEoghan	Dublin South-East	Fine Gael	http://www.eoghanmurphy.ie/	eoghan.murphy@oireachtas.ie	http://www.finegael.ie
Ms. Catherine Murphy	http://www.facebook.com/catherinemurphytd	cathmurphytd		http://ie.linkedin.com/pub/catherine-murphy/25/990/710		Kildare North	Social Democrats	http://www.catherinemurphy.ie/	catherine.murphy@oireachtas.ie	http://www.socialdemocrats.ie/
Mr. Paul Murphy	http://www.facebook.com/paulmurphytd	paulmurphyaaa				Dublin South-West	Anti Austerity Alliance	http://antiausterityalliance.ie/elected-tds/	paul.murphy@oireachtas.ie	http://antiausterityalliance.ie/
Mr. Gerald Nash	http://www.facebook.com/GedNash	geraldnash	http://www.flickr.com/search/?q=geraldnash&m=tags&w=32586689%40N00&ss=2&z=m			Louth	Labour Party	http://www.labour.ie/geraldnash/	gerald.nash@oireachtas.ie	http://www.labour.ie/
Mr. Denis Naughten		denisnaughten				Roscommon Leitrim South	Independent	http://www.denisnaughten.ie	Denis.Naughten@oireachtas.ie	
Mr. Dan Neville	http://www.facebook.com/dan.nevilletd	dannevilletd			http://www.youtube.com/user/dannevilleTD	Limerick	Fine Gael	http://www.danneville.ie/	dan.neville@oireachtas.ie	http://www.finegael.ie
Mr. Derek Nolan	http://www.facebook.com/dereknolan.galway	dereknolantd			http://www.youtube.com/user/DerekNolanGalway	Galway West	Labour Party	http://www.labour.ie/dereknolan	derek.nolan@oireachtas.ie	http://www.labour.ie/
Mr. ƒamon î Cu’v	http://www.facebook.com/eamonocuiv	eamonocuiv				Galway West	Fianna F‡il	http://eamonocuiv.ie/	eamon.ocuiv@oireachtas.ie	http://www.fiannafail.ie/
Mr. Se‡n î Feargha’l	http://www.facebook.com/sean.ofearghail.5	sofearghail_td				Kildare South	Fianna F‡il	http://seanofearghail.ie/	sean.ofearghail@oireachtas.ie	http://www.fiannafail.ie/
Mr. Aodh‡n î R’ord‡in	http://www.facebook.com/AodhanORiordain	aodhanoriordain				Dublin North Central	Labour Party	http://www.aodhanoriordain.ie/	aodhan.oriordain@oireachtas.ie	http://www.labour.ie/
Mr. Aengus î Snodaigh	http://www.facebook.com/aengus.osnodaigh	aosnodaigh		http://www.linkedin.com/pub/aengus-o-snodaigh/20/777/924	http://www.youtube.com/user/sinnfeinireland	Dublin South-Central	Sinn FŽin	http://www.sinnfein.ie/aengus-snodaigh-td	aengus.osnodaigh@oireachtas.ie	http://www.sinnfein.ie
Mr. Jonathan O'Brien	http://www.facebook.com/jonathan.obrientd.3	jobrien_sf				Cork North-Central	Sinn FŽin	http://www.sinnfein.ie/contents/20207	jonathan.obrien@oireachtas.ie	http://www.sinnfein.ie
Mr. Willie O'Dea	http://www.facebook.com/willie.odea.3	willieodealive				Limerick City	Fianna F‡il	http://willieodea.ie/	willie.odea@oireachtas.ie	http://www.fiannafail.ie/
Mr. Kieran O'Donnell	http://www.facebook.com/kodonnelltd	kodonnelltd				Limerick City	Fine Gael	http://kieranodonnell.ie/	kieran.odonnell@oireachtas.ie	http://www.finegael.ie
Mr. Patrick O'Donovan	http://www.facebook.com/podonovantd	podonovan				Limerick	Fine Gael	http://www.patrickodonovan.ie/	patrick.odonovan@oireachtas.ie	http://www.finegael.ie
Mr. Fergus O'Dowd	http://www.facebook.com/pages/Fergus-ODowd-TD/109482069074958	fergusodowd				Louth	Fine Gael	http://www.finegael.ie/our-people/tds/fergus-odowd/index.xml	fergus.odowd@oireachtas.ie	http://www.finegael.ie
Mr. John O'Mahony	http://www.facebook.com/john.omahonytd	johnomahonytd				Mayo	Fine Gael	http://www.johnomahony.ie/	john.omahony@oireachtas.ie	http://www.finegael.ie
Mr. Joe O'Reilly	http://www.facebook.com/joeoreillytd	joeoreillytd		http://ie.linkedin.com/in/joeoreillytd		Cavan-Monaghan	Fine Gael	http://www.finegael.ie/our-people/tds/joe-oreilly/index.xml	joe.oreilly@oireachtas.ie	http://www.finegael.ie
