Screenname	Name	Description	Constituency	Surname	Firstname	Gender	Party	PartyInitials	Status	Remarks
cowenbarry	Barry Cowen		Offaly	Cowen	Barry	M	Fianna Fail	F.F.	Elected	Uibh Fhaili
creedcnw	Michael Creed TD	Official Twitter Account of Michael Creed TD Minister for Agriculture Food and the Marine.	Cork North-West	Creed	Michael	M	Fine Gael	F.G.	Elected	Corcaigh Thiar Thuaidh
damien_english	Damien English TD	TD for Meath West. @finegael. 32nd Dail. Minister for Housing & Urban Renewal at @housingpress. Running.	Meath West	English	Damien	M	Fine Gael	F.G.	Elected	An Mhi Thiar
dannevilletd	Dan Neville TD	"Fine Gael TD,  Chairman, Fine Gael President Irish Association of Suicidology From Limerick"	Limerick County	Neville	Tom	M	Fine Gael	F.G.	Elected	Contae Luimnigh
daracalleary	Dara Calleary	@fiannafailparty TD for Mayo and Spokesperson on Public Expenditure and Reform	Mayo	Calleary	Dara	M	Fianna Fail	F.F.	Elected	Maigh Eo
daramurphyfg	Dara Murphy	"Irish Minister for European Affairs, EU Digital Single Market & Data Protection. @FineGael TD for Cork North Central. Vice President, European People's Party"	Cork North-Central	Murphy	Dara	M	Fine Gael	F.G.	Elected	Corcaigh Thuaidh-Lar
davidcullinane	David Cullinane	"I am a member of Dail Eireann, former Senator & member of Waterford City Council. I am a father to Emmet and Finn. I'm stubborn, kind and opinions are my own"	Waterford	Cullinane	David	M	Sinn Fein	S.F.	Elected	Port  Lairge
davidfitzg	David FitzGerald		Carlow-Kilkenny	Fitzgerald	David	M	Fine Gael	F.G.	Excluded	Ceatharlach-Cill Chainnigh
davidhealyv	David Healy	"Comhairleoir/ councillor @fingalcoco, @greenparty_ie. Active in @FIEIreland & @feasta_tweets. Failte roimh Ghaeilge & Esperanto. 087 6178852"	Louth	Bradley	David	M	Non-Party	NON-P.	Excluded	L“
davidstantontd	David Stanton TD	"Minister of State at the Department of Justice & Equality with special responsibility for Equality, Immigration & Integration. TD for Cork East."	Cork  East	Stanton	David	M	Fine Gael	F.G.	Elected	Corcaigh Thoir
declan_bree	Cllr Declan Bree	A lifelong Political Activist and an Independent councillor on Sligo County Council.	Sligo-Leitrim	Bree	Declan	M	Non-Party	NON-P.	Excluded	Sligeach-Liatroim
declancrowe1	Declan Crowe	Official account of declan crowe	Kildare South	Crowe	Declan	M	Non-Party	NON-P.	Excluded	Cill Dara Theas
deirdreheney	Deirdre Heney	Deirdre Heney Barrister and Fianna Fail Dublin City Councillor	Dublin Bay North	Heney	Deirdre	F	Fianna Fail	F.F.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
denisnaughten	Denis Naughten	"Minister for Communications, Climate Action & Environment. Ireland's first ever Climate Minister who's focused on efficiency & delivering broadband nationwide"	Roscommon-Galway	Naughten	Denis	M	Non-Party	NON-P.	Elected	Ros Comain-Gaillimh
deputymcgrathtd	Michael McGrath	Fianna Fail Spokesperson on Finance. Representing the people of Cork South Central in Dail Eireann since 2007	Cork South-Central	McGrath	Michael	M	Fianna Fail	F.F.	Elected	Corcaigh Theas-Lar
derekkeating	Derek Keating		Dublin Mid-West	Keating	Derek	M	Fine Gael	F.G.	Excluded	Baile çtha Cliath Thiar-Mean
dessieellistd	Dessie Ellis	Sinn Fein TD for Dublin North West. Party spokesperson on  Housing & Transport	Dublin North-West	Ellis	Dessie	M	Sinn Fein	S.F.	Elected	Baile çtha Cliath Thiar Thuaidh
dianaodwyeraaa	Diana O'Dwyer	Researcher for the Anti-Austerity Alliance socialist feminist & @RosaWomen  activist #repealthe8th	Dublin Central	O'Dwyer	Diana	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Baile çtha Cliath Lair
dmitchelltd	Denise Mitchell	Sinn Fein TD for Dublin Bay North.	Dublin Bay North	Mitchell	Denise	F	Sinn Fein	S.F.	Elected	Cuan Bhaile çtha Cliath Thuaidh
domhannigan	Dominic Hannigan	Spurs fan. Eternal optimist.	Meath East	Hannigan	Dominic	M	The Labour Party	LAB.	Excluded	An Mhi Thoir
donalc2013	Donal Corcoran		Kerry	Corcoran	Donal	M	Renua Ireland	R.I.	Excluded	Ciarrai
donna_cooney1	donna cooney	"Artist, environmentalist, community activist, social entrepreneur, interested in history, politics, plays & books, live in the present positive, enjoying life!"	Dublin Bay North	Cooney	Donna	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
donnchadhol	Donnchadh OLaoghaire	"Sinn Fein TD for Cork South Central.   An Tochar.   Siul do bhothar, scriobh do sceal, sin amach do chuid sciathan agus oscail do bheal"	Cork South-Central	O Laoghaire	Donnchadh Uinseann	M	Sinn Fein	S.F.	Elected	Corcaigh Theas-Lar
donnellystephen	Stephen Donnelly	"TD for Wicklow & East Carlow. Trying to improve the system from the inside. Loving being a dad, after 7am."	Wicklow	Donnelly	Stephen	M	Social Democrats	S.D.	Elected	Cill Mhantain
drjamesreilly	Sen.Dr James Reilly	Senator Dr James Reilly is a native of Lusk and GP in the area for over 25 years.	Dublin Fingal	Reilly	James	M	Fine Gael	F.G.	Excluded	Baile çtha Cliath - Fine Gall
eamonocuiv	Eamon O Cuiv	"Teachta Dala Gaillimh Thiar & Fianna Fail Spokesperson on Regional Development, Rural Affairs and the Gaeltacht. Vice President of Fianna Fail."	Galway West	O Cuiv	Eamon	M	Fianna Fail	F.F.	Elected	Gaillimh Thiar
eamonryan	Eamon Ryan	Leader of the Green Party / Comhaontas Glas  https://t.co/cFwxeRMaWe / https://t.co/h4PMVLN6ww	Dublin Bay South	Ryan	Eamon	M	Green Party/ Comhaontas Glas	G.P.	Elected	Cuan Bhaile çtha Cliath Theas
eilistweets	Eilis Ryan	Worker's Party Dublin city councillor and candidate for Dublin Central in #GE2016 (or '15!)	Dublin Central	Ryan	Eilis	F	Workers Party	W.P.	Excluded	Baile çtha Cliath Lair
elizabethhourih	Elizabeth Hourihane	"Cork GEN Election Candidate. Power corrupts absolute power corrupts absolutely!  accountability is the key to democracy, without it we live in a dictatorship."	Cork South-Central	Hourihane	Elizabeth	F	Non-Party	NON-P.	Excluded	Corcaigh Theas-Lar
emhcoffey	Emma Coffey	Emma is a FF candidate in GE16 in Louth East Meath. Emma is a Solicitor & runs her own practise in Drogheda. she lives with her husband & daughter in Dundalk.	Louth	Coffey	Emma	F	Fianna Fail	F.F.	Excluded	L“
emmettobrienind	Cllr Emmett O'Brien	Independent Limerick County Councillor - Adare Rathkeale. Kildimo Pallaskenry GAA clubman & Barrister emmett.obrien@limerick.ie	Limerick County	O'Brien	Emmett	M	Non-Party	NON-P.	Excluded	Contae Luimnigh
endakennytd	Enda Kenny	"Taoiseach, Leader of @FineGael, husband and father."	Mayo	Kenny	Enda	M	Fine Gael	F.G.	Elected	Maigh Eo
eobroin	Eoin O Broin	Writer and political activist. Dublin GAA fan. Sinn Fein T.D. for Dublin Mid-West. https://t.co/RhOdJhcjma	Dublin Mid-West	O Broin	Eoin	M	Sinn Fein	S.F.	Elected	Baile çtha Cliath Thiar-Mean
ericbyrnetd	Eric Byrne	Former Dail Deputy for Dublin South Central.	Dublin South-Central	Byrne	Eric	M	The Labour Party	LAB.	Excluded	Baile çtha Cliath Theas-Lar
farringm	Michael Farrington	"RENUA GE16 candidate for MAYO- The Forgotten County. Passionate about saving rural Ireland, bringing our emigrants home + all things Mayo - especially Mayo GAA"	Mayo	Farrington	Michael Patrick	M	Renua Ireland	R.I.	Excluded	Maigh Eo
fergalsmithcl	Fergal Smith	"Green Party Candidate, County Clare #GE16"	Clare	Smith	Fergal	M	Green Party/ Comhaontas Glas	G.P.	Excluded	An Clar
fergusodowd	Fergus O'Dowd	T.D. Member of Irish Parliament	Louth	O'Dowd	Fergus	M	Fine Gael	F.G.	Elected	L“
ferrismartin	Martin Ferris TD	Sinn Fein TD. Kerry #GE2016 Candidate. Spokesperson for Agriculture & Fisheries. Former IRA prisoner and proud republican. Passionate GAA man club & county	Kerry	Ferris	Martin	M	Sinn Fein	S.F.	Elected	Ciarrai
finianmcgrathtd	Finian McGrath	Thank you to everyone who voted for and supported me throughout campaign. It is my privilege to earn your vote and support.. Thank you	Dublin Bay North	McGrath	Finian	M	Non-Party	NON-P.	Elected	Cuan Bhaile çtha Cliath Thuaidh
finucanebrian	Brian Finucane	"Kerry People Before Profit Alliance, I'm a very active & proud socialist. All views are my own. People Power !"	Kerry	Finucane	Brian	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Ciarrai
fiona_kildare	Fiona OLoughlin	"Fianna Fail TD for Kildare South. Kildare to the core, passionate about my county!"	Kildare South	O'Loughlin	Fiona	F	Fianna Fail	F.F.	Elected	Cill Dara Theas
fionamacky	Fiona McLoughlin	"Founder @Food_Rebels Mum,panelist @TV3Midday board member, County Councillor,snapchat: fionamhealy https://t.co/shV9zu8ufz"	Kildare South	O'Loughlin	Fiona	F	Fianna Fail	F.F.	Elected	Cill Dara Theas
fionapettit71	Fiona Pettit O'Leary	I am an Autism Advocate and founder of Autistic Rights Together.	Cork South-West	Pettit Oêleary	Fiona	F	Non-Party	NON-P.	Excluded	Corcaigh Thiar Theas
fitzgeraldfrncs	Frances Fitzgerald	"Frances Fitzgerald, Tanaiste, Minister for Justice & Equality, @FineGael T.D. for Dublin Mid West. This account is managed by the Tanaiste & her team."	Dublin Mid-West	Fitzgerald	Frances	F	Fine Gael	F.G.	Elected	Baile çtha Cliath Thiar-Mean
fnduffy	Cllr Francis N Duffy	"School of Architecture Lecturer, DIT - Educate to liberate"	Dublin South-West	Duffy	Francis Noel	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Baile çtha Cliath Thiar Theas
frankrenua	Frank Cronin	"RENUA candidate. CEO IPC Digital Media. Husband, Father, Brother & Son. Community Activist."	D“n Laoghaire	Cronin	Frank	M	Renua Ireland	R.I.	Excluded	D“n Laoghaire
frantimmons	Cllr Francis Timmons	Clondalkin area Independent Counsellor & Peace Commisioner	Dublin Mid-West	Timmons	Francis	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath Thiar-Mean
gabmcfadden	Gabrielle McFadden	"This is the twitter account for Gab McFadden, Government Chief Seanad Whip. and Fine Gael Spokesperson on Defence. Based in the Longford-Westmeath constituency."	Longford-Westmeath	McFadden	Gabrielle	F	Fine Gael	F.G.	Excluded	An Longfort-An Iarmhi
garydoc	Gary Doherty	"Sinn Fein Councillor in Donegal, Ireland."	Donegal	Doherty	Gary	M	Sinn Fein	S.F.	Excluded	D“n na nGall
geraldnash	Gerald Nash	Labour Party Member of Seanad Eireann. 'That lad from Drogheda' - (c) Mary Mitchell-O'Connor	Louth	Nash	Ged	M	The Labour Party	LAB.	Excluded	L“
gerryadamssf	Gerry Adams	Sinn Fein President and TD for Louth	Louth	Adams	Gerry	M	Sinn Fein	S.F.	Elected	L“
ginosocialist	Gino Kenny	People Before Profit Alliance TD for Dublin Mid West.	Dublin Mid-West	Kenny	Gino	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Elected	Baile çtha Cliath Thiar-Mean
glenna_lynch	Glenna Lynch	Convinced we can make this country great for all its people. @socdems Dublin Bay South https://t.co/Xzq6m22cUO	Dublin Bay South	Lynch	Glenna	F	Social Democrats	S.D.	Excluded	Cuan Bhaile çtha Cliath Theas
graceosllvn	Grace O'Sullivan	"Green Party representative in Seanad Eireann. Passionate about tackling climate change, creating sustainable jobs and a green and healthy future for all."	Waterford	O'Sullivan	Grace	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Port  Lairge
gratire	Diarmaid O CADHLA	Let's build a Democratic future! Empowerment of the Citizens is the only alternative to rule OVER us by Political Parties & Vested Interests! see: cppc.ie	Cork South-Central	O Cadhla	Diarmaid	M	Non-Party	NON-P.	Excluded	Corcaigh Theas-Lar
hannigan_cllr	Cllr. Joe Hannigan		Offaly	Hannigan	Joe	M	Non-Party	NON-P.	Excluded	Uibh Fhaili
hhumphreysfg	Heather Humphreys	"This account for the Minister for Arts, Heritage, Regional, Rural and Gaeltacht Affairs is managed by Heather and her team"	Cavan-Monaghan	Humphreys	Heather	F	Fine Gael	F.G.	Elected	An Cabhan-Muineachan
hmcentee	Helen McEntee TD		Meath East	McEntee	Helen	F	Fine Gael	F.G.	Elected	An Mhi Thoir
hopkins_maura	Sen. Maura Hopkins	"Fine Gael Senator, Occupational Therapist and Speech & Drama Teacher."	Roscommon-Galway	Hopkins	Maura	F	Fine Gael	F.G.	Excluded	Ros Comain-Gaillimh
